id,title,content,user_id,created_at,updated_at
1770546126853,景点注意事项,"## 昆明

- 昆明老街
- 翠湖公园
- 滇池
- 斗南花市

## 大理

**洱海南**

- 大理火车站
- 兴盛大桥

**洱海西**

- 大理古城
- 苍山
- 龙龛码头
- 才村
- 磻溪S湾
- 廊桥
- 海舌半岛
- 喜洲古镇

**洱海东**

- 双廊古镇
- 小普陀
- 文笔村
- 理想邦

## 丽江

### 城区

- 丽江古城
- 大研花巷
- 四方街
- 万古楼

### 自然风景

- 东巴谷
- 玉龙雪山：进山费100元/人，带学生证有优惠；坐101路公交到玉龙雪山游客中心下车
- 蓝月谷：坐玉龙雪山景区大巴到“云杉坪”站下车，注意不要坐错站了
- 云杉坪









",1,2026-02-08 10:22:06.853000,2026-02-09 03:24:52.861000
1770565254416,剩余规划事项,"1. 选择丽江的住宿
2. 记录各个城市景点的注意事项（买票、租车之类的）
3. 调研吃饭的地方
4. 酒店、火车票、机票的预购时间
",1,2026-02-08 15:40:54.416000,2026-02-09 04:27:55.897000
1770609189674,昆明游玩注意事项,"下飞机后入住汉庭酒店（昆明火车站店）

- 昆明老街
- 翠湖公园
- 滇池
- 斗南花市",1,2026-02-09 03:53:09.674000,2026-02-09 05:23:43.752000
1770611151622,大理游玩注意事项,,1,2026-02-09 04:25:51.622000,2026-02-09 05:27:04.597000
1770614825531,丽江游玩注意事项,"## Day7：
坐火车到丽江站后，打车至丽江古城，入住【】
当天下午晚上剩下时间可以在丽江古城内转转逛逛

## Day8：
上午尽量早点起来，到【忠义市场】乘坐101大巴前往【玉龙雪山游客中心】

- 大巴发车时间：首班车6:20，末班车18:00，中间隔半小时发一趟车（但据说并不严格按照时间来，每趟车即满即发）
- 忠义市场至玉龙雪山游客中心全线时间：大概1h ~ 1h30m
- 玉龙雪山门票100/人，学生证有优惠

到达玉龙雪山后乘坐景区环保车前往【蓝月谷】

- 景区环保车20/人·单程
- 在“云杉坪站”下车，沿指示牌往蓝月谷方向走，进入蓝月谷景区
- 走到“水月阁站”后，再乘坐环保车返回游客中心

游玩结束后，从玉龙雪山游客中心再乘坐101大巴返回忠义市场


## Day9：
中午退房后打车前往【丽江三义国际机场】，乘坐飞机返回武汉









",1,2026-02-09 05:27:05.531000,2026-02-09 05:37:29.897000
aaron_memo_17706367071273o96i,景点注意事项,"## 昆明

- 昆明老街
- 翠湖公园
- 滇池
- 斗南花市

## 大理

**洱海南**

- 大理火车站
- 兴盛大桥

**洱海西**

- 大理古城
- 苍山
- 龙龛码头
- 才村
- 磻溪S湾
- 廊桥
- 海舌半岛
- 喜洲古镇

**洱海东**

- 双廊古镇
- 小普陀
- 文笔村
- 理想邦

## 丽江

### 城区

- 丽江古城
- 大研花巷
- 四方街
- 万古楼

### 自然风景

- 东巴谷
- 玉龙雪山：进山费100元/人，带学生证有优惠；坐101路公交到玉龙雪山游客中心下车
- 蓝月谷：坐玉龙雪山景区大巴到“云杉坪”站下车，注意不要坐错站了
- 云杉坪









",3,2026-02-08 10:22:06.853000,2026-02-09 03:24:52.861000
aaron_memo_1770636707575x002a,剩余规划事项,"1. 选择丽江的住宿
2. 记录各个城市景点的注意事项（买票、租车之类的）
3. 调研吃饭的地方
4. 酒店、火车票、机票的预购时间
",3,2026-02-08 15:40:54.416000,2026-02-09 04:27:55.897000
aaron_memo_1770636708020x9vus,昆明游玩注意事项,"下飞机后入住汉庭酒店（昆明火车站店）

- 昆明老街
- 翠湖公园
- 滇池
- 斗南花市",3,2026-02-09 03:53:09.674000,2026-02-09 05:23:43.752000
aaron_memo_1770636708907m1ue7,丽江游玩注意事项,"## Day7：
坐火车到丽江站后，打车至丽江古城，入住【】
当天下午晚上剩下时间可以在丽江古城内转转逛逛

## Day8：
上午尽量早点起来，到【忠义市场】乘坐101大巴前往【玉龙雪山游客中心】

- 大巴发车时间：首班车6:20，末班车18:00，中间隔半小时发一趟车（但据说并不严格按照时间来，每趟车即满即发）
- 忠义市场至玉龙雪山游客中心全线时间：大概1h ~ 1h30m
- 玉龙雪山门票100/人，学生证有优惠

到达玉龙雪山后乘坐景区环保车前往【蓝月谷】

- 景区环保车20/人·单程
- 在“云杉坪站”下车，沿指示牌往蓝月谷方向走，进入蓝月谷景区
- 走到“水月阁站”后，再乘坐环保车返回游客中心

游玩结束后，从玉龙雪山游客中心再乘坐101大巴返回忠义市场


## Day9：
中午退房后打车前往【丽江三义国际机场】，乘坐飞机返回武汉









",3,2026-02-09 05:27:05.531000,2026-02-09 05:37:29.897000
aaron_memo_1770636708468f1l54,大理游玩注意事项,要玩的开心,3,2026-02-09 04:25:51.622000,2026-02-09 13:28:33.975256
