id,name,address,location,tel,type,typecode,user_id,created_at
B036705IZ2,昆明站,北京路1号,"102.722277,25.015257",,,,1,2026-02-07 12:21:29.804000
B0367065BF,翠湖公园,翠湖南路67号,"102.703621,25.048416",,,,1,2026-02-07 12:21:39.993000
B036702E39,滇池海埂公园,滇池路1318号,"102.658412,24.958925",,,,1,2026-02-07 12:21:50.652000
B0KK05DWCK,昆明火车站国贸中心桔子水晶酒店,金汁路356号,"102.742274,25.016546",0871-68277888,住宿服务;宾馆酒店;宾馆酒店,100100,1,2026-02-07 13:32:11.839000
B0FFGF6XB3,斗南花卉市场,金桂街76号,"102.788064,24.902676",18685488479,购物服务;花鸟鱼虫市场;花卉市场|公司企业;公司企业;公司企业,060501|170000,1,2026-02-07 13:43:04.732000
B0K1L5ARNE,昆明老街纸片楼,云瑞东路与云瑞西路交叉口东20米,"102.707798,25.039637",,商务住宅;商务住宅相关;商务住宅相关,120000,1,2026-02-07 14:13:14.211000
B0J1TSCF6W,大理古城禧东智能轻奢民宿(洱海门店),大理古城大院子村东门六组223号,"100.172549,25.698019",13708649304;15187296119,住宿服务;住宿服务相关;住宿服务相关,100000,1,2026-02-07 15:16:02.153000
B03680030R,大理站,巍山路261号,"100.250635,25.589569",,交通设施服务;火车站;火车站,150200,1,2026-02-07 17:44:37.585000
B0K3YOJNBZ,大理橄榄树海景度假酒店(双廊洱海店),云南省大理白族自治州大理市双廊镇双廊村一组161号附3号(洱海生态保护核心区),"100.191757,25.913509","18687962222;+861056320612,51543265",住宿服务;宾馆酒店;宾馆酒店,100100,1,2026-02-07 17:47:07.972000
B0FFLLKKUM,兴盛大桥,大理市,"100.231074,25.599841",,地名地址信息;交通地名;桥,190307,1,2026-02-08 05:15:08.247000
B0368005Z0,大理苍山世界地质公园,Z013附近,"100.119072,25.657252",0872-2289977,风景名胜;风景名胜;国家级景点|风景名胜;公园广场;公园,110202|110101,1,2026-02-08 05:27:18.440000
B03670W002,昆明长水国际机场,大板桥街道长水社区,"102.935835,25.099565",0871-96566,交通设施服务;机场相关;飞机场,150104,1,2026-02-07 13:31:57.534000
aaron_B036705IZ2,昆明站,北京路1号,"102.722277,25.015257",,,,3,2026-02-07 12:21:29.804000
aaron_B0367065BF,翠湖公园,翠湖南路67号,"102.703621,25.048416",,,,3,2026-02-07 12:21:39.993000
aaron_B036702E39,滇池海埂公园,滇池路1318号,"102.658412,24.958925",,,,3,2026-02-07 12:21:50.652000
aaron_B0KK05DWCK,昆明火车站国贸中心桔子水晶酒店,金汁路356号,"102.742274,25.016546",0871-68277888,住宿服务;宾馆酒店;宾馆酒店,100100,3,2026-02-07 13:32:11.839000
aaron_B0FFGF6XB3,斗南花卉市场,金桂街76号,"102.788064,24.902676",18685488479,购物服务;花鸟鱼虫市场;花卉市场|公司企业;公司企业;公司企业,060501|170000,3,2026-02-07 13:43:04.732000
aaron_B0K1L5ARNE,昆明老街纸片楼,云瑞东路与云瑞西路交叉口东20米,"102.707798,25.039637",,商务住宅;商务住宅相关;商务住宅相关,120000,3,2026-02-07 14:13:14.211000
aaron_B0J1TSCF6W,大理古城禧东智能轻奢民宿(洱海门店),大理古城大院子村东门六组223号,"100.172549,25.698019",13708649304;15187296119,住宿服务;住宿服务相关;住宿服务相关,100000,3,2026-02-07 15:16:02.153000
aaron_B03680030R,大理站,巍山路261号,"100.250635,25.589569",,交通设施服务;火车站;火车站,150200,3,2026-02-07 17:44:37.585000
aaron_B0K3YOJNBZ,大理橄榄树海景度假酒店(双廊洱海店),云南省大理白族自治州大理市双廊镇双廊村一组161号附3号(洱海生态保护核心区),"100.191757,25.913509","18687962222;+861056320612,51543265",住宿服务;宾馆酒店;宾馆酒店,100100,3,2026-02-07 17:47:07.972000
aaron_B0FFLLKKUM,兴盛大桥,大理市,"100.231074,25.599841",,地名地址信息;交通地名;桥,190307,3,2026-02-08 05:15:08.247000
aaron_B0368005Z0,大理苍山世界地质公园,Z013附近,"100.119072,25.657252",0872-2289977,风景名胜;风景名胜;国家级景点|风景名胜;公园广场;公园,110202|110101,3,2026-02-08 05:27:18.440000
aaron_B0FFI6ZBLL,龙龛码头,大理镇环海西路龙龛生态园(北侧),"100.206525,25.698072",,交通设施服务;港口码头;港口码头,150300,3,2026-02-08 05:27:55.191000
aaron_B0368000BB,才村码头,月华路尽头,"100.193637,25.718727",,交通设施服务;港口码头;港口码头,150300,3,2026-02-08 05:28:30.918000
aaron_B0KGZU6VC6,磻溪S湾,磻溪完全小学北侧90米,"100.150112,25.770765",,风景名胜;风景名胜;风景名胜,110200,3,2026-02-08 05:28:47.613000
aaron_B0FFG9ZF78,廊桥,湾桥镇向阳溪,"100.150560,25.822662",,风景名胜;风景名胜;风景名胜,110200,3,2026-02-08 05:29:04.998000
aaron_B0FFFFK7HC,爱在海舌蜜月半岛,喜洲镇金河村,"100.156690,25.870703",13759484834,风景名胜;公园广场;公园,110101,3,2026-02-08 05:29:21.241000
aaron_B0FFH27SSH,喜洲古镇,清真路130号,"100.131582,25.852950",,风景名胜;风景名胜;风景名胜,110200,3,2026-02-08 05:29:29.475000
aaron_B036814RT7,双廊古镇,S314(环海东路),"100.194322,25.908323",0872-2461185,风景名胜;风景名胜;国家级景点,110202,3,2026-02-08 05:30:01.843000
aaron_B0368000B7,小普陀,海东镇海印村77号,"100.223013,25.807452",13764308272,风景名胜;风景名胜;风景名胜,110200,3,2026-02-08 05:30:12.676000
aaron_B0L0O5IV42,文笔村风光景区,文笔村,"100.233139,25.731445",,风景名胜;风景名胜;风景名胜,110200,3,2026-02-08 05:30:31.175000
aaron_B0FFGJWJA3,理想邦,环海东路,"100.269930,25.698271",0872-2356033,体育休闲服务;休闲场所;休闲场所|风景名胜;风景名胜相关;旅游景点,080500|110000,3,2026-02-08 05:30:40.606000
aaron_B037814F71,丽江站,上吉路附近,"100.252694,26.810521",,交通设施服务;火车站;火车站,150200,3,2026-02-08 11:23:56.566000
aaron_B0378008FA,玉龙雪山国家级风景名胜区,旅游环线,"100.258558,27.098052",0888-5131068,风景名胜;风景名胜;国家级景点,110202,3,2026-02-08 11:25:25.320000
aaron_B0378157WA,玉龙雪山国家级风景名胜区蓝月谷,雪山景区内,"100.245886,27.124436",0888-5131111;0888-5111764,风景名胜;风景名胜;风景名胜,110200,3,2026-02-08 11:25:33.652000
aaron_B0JKJZHOCS,汉庭酒店(丽江古城南门店),长水路99号,"100.233761,26.866165",0888-8886799;0888-8886899,住宿服务;住宿服务相关;住宿服务相关,100000,3,2026-02-08 11:23:45.888000
aaron_B037800926,丽江三义国际机场,七河镇丽大公路旁,"100.246460,26.671508",0888-5173081;0888-5173088,交通设施服务;机场相关;飞机场,150104,3,2026-02-08 11:24:02.886000
aaron_B0378000KO,云杉坪,15公里处玉龙雪山国家级风景名胜区内(西北角),"100.235197,27.129758",0888-5131068,风景名胜;风景名胜;风景名胜,110200,3,2026-02-08 11:25:39.739000
